word,information_gain,percentage_suicide,percentage_non_suicide
青岛,0.0018713131465631916,6.22%,93.78%
花,0.02742756037808025,13.93%,86.07%
碳水,0.00025384923830307216,6.45%,93.55%
尺寸,0.00025384923830307216,6.45%,93.55%
品牌,0.0001868687239527933,8.00%,92.00%
滑冰,0.00043855494064992673,4.26%,95.74%
山水,0.0005733318701516277,1.89%,98.11%
烟火,0.0007375551745270048,7.37%,92.63%
米饭,0.0013903170526124997,4.61%,95.39%
玉米,0.0007822263306617172,7.07%,92.93%
小花,0.000842361995861185,4.40%,95.60%
奥,0.00048092396677346105,29.37%,70.63%
专属,0.00022053042733294337,9.38%,90.62%
澳门,0.00015538158883587894,5.56%,94.44%
斑,0.0006094234039842883,11.76%,88.24%
爱好者,0.0003198525503642635,3.12%,96.88%
战神,0.00012126417633873121,6.67%,93.33%
油条,0.0001222284352211389,10.53%,89.47%
定,5.213707931095435e-05,51.99%,48.01%
不语,6.237889935489793e-05,22.73%,77.27%
日语,9.130334492601921e-05,12.50%,87.50%
定金,7.707829510827935e-05,9.09%,90.91%
古老,0.0001325640823636176,6.25%,93.75%
曼谷,0.00012126417633873121,6.67%,93.33%
直播间,8.7938745200411e-05,8.33%,91.67%
祝您,0.0001325640823636176,6.25%,93.75%
菜市场,0.00012126417633873121,6.67%,93.33%
登山,4.345023867602382e-05,18.18%,81.82%
粉底液,0.00011005057599799972,7.14%,92.86%
火腿肠,9.893656110326887e-05,7.69%,92.31%
毛,0.00836287243103373,11.45%,88.55%
砖,0.000622172420693734,10.42%,89.58%
东北,0.0005936570507416583,4.62%,95.38%
清风,0.0003320582036753228,10.00%,90.00%
汉堡,0.00023132689088656289,6.90%,93.10%
材料,0.00030842281045528885,9.09%,90.91%
太太,0.0002763076980070167,14.55%,85.45%
小哥,0.00017365602648367062,19.15%,80.85%
舞台,0.0002651723737863154,6.25%,93.75%
队,0.0013915074485129075,15.41%,84.59%
财,0.0008945328497035332,16.67%,83.33%
豆,0.007279297615759295,4.76%,95.24%
香港,0.0005471263049661168,4.92%,95.08%
吃货,0.0007281572515128731,6.67%,93.33%
步骤,0.0004399193501565257,8.33%,91.67%
旅,0.016418765057721774,6.20%,93.80%
听力,0.0002748439846651518,8.11%,91.89%
镇,0.001465746332714124,12.93%,87.07%
游玩,0.00028692928376661264,9.52%,90.48%
烤,0.00455821841159243,5.09%,94.91%
强者,0.00023132689088656289,6.90%,93.10%
小白,0.001173624708501686,4.03%,95.97%
约会,0.00023132689088656289,6.90%,93.10%
大头,0.00026919706247596764,11.36%,88.64%
高山,0.00025384923830307216,6.45%,93.55%
夏,0.006279356609718345,11.34%,88.66%
芽,0.0003415332056818654,16.67%,83.33%
余额,0.00020899017133602094,7.41%,92.59%
流水,0.00037397122627580437,14.67%,85.33%
珍藏,0.00019790041146261483,7.69%,92.31%
汉中,0.00012126417633873121,6.67%,93.33%
小丸子,0.0003797322033609607,2.70%,97.30%
土耳其,8.7938745200411e-05,8.33%,91.67%
初会,0.00016688292196886945,5.26%,94.74%
李子,0.00011005057599799972,7.14%,92.86%
芋头,0.00012126417633873121,6.67%,93.33%
鱼片,0.00012126417633873121,6.67%,93.33%
临沂,8.7938745200411e-05,8.33%,91.67%
馅饼,0.00012126417633873121,6.67%,93.33%
火热,6.076882128480676e-05,18.75%,81.25%
份量,0.00011005057599799972,7.14%,92.86%
牛蛙,7.707829510827935e-05,9.09%,90.91%
盛世,0.0001325640823636176,6.25%,93.75%
东门,9.893656110326887e-05,7.69%,92.31%
书法,0.00011005057599799972,7.14%,92.86%
支架,0.00012126417633873121,6.67%,93.33%
瓜,0.0018579554897159012,12.58%,87.42%
麻将,6.128182132725257e-05,26.67%,73.33%
针织,0.00011178897091512763,11.11%,88.89%
新街口,0.00011005057599799972,7.14%,92.86%
大块,3.32160499023626e-05,27.78%,72.22%
保温,2.678455126359225e-05,29.41%,70.59%
九宫格,0.00011005057599799972,7.14%,92.86%
肉夹馍,0.00011005057599799972,7.14%,92.86%
深色,6.638276517823005e-05,10.00%,90.00%
凉皮,0.0001325640823636176,6.25%,93.75%
标价,0.0001222284352211389,10.53%,89.47%
纸质,0.00011005057599799972,7.14%,92.86%
